 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : CommandLine,6,6,0,0,0,0,0,3,4,0,4,0,0,0.8798076923076923,277,152,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,16,0,6,0.0,0.21428572,0,0,0,0,0.0,0.0
Buggy 2 : PosixParser,3,3,0,0,0,0,0,3,4,0,4,0,0,0.6233766233766234,285,123,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,7,1,0,0.037037037,0.0,1,0,0,0,0.0,0.0
Buggy 3 : TypeHandler,4,4,0,0,0,0,0,2,0,0,0,0,0,0.8888888888888888,229,76,1,0,0,0,0,0,0,6,6,0,5,1,0,1,21,9,0,1,0.0,0.04761905,0,0,0,0,0.0,0.0
Buggy 4 : Parser,6,6,0,0,0,0,0,10,3,0,3,0,0,0.7611111111111111,365,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,21,9,4,0,0.1904762,0.0,4,0,0,0,1.0,0.0
Buggy 5 : Util,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,63,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 7 : PatternBuilder,11,11,0,0,0,0,0,12,4,0,4,0,0,0.7125,180,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 8 : HelpFormatter,7,7,0,0,0,0,0,4,15,15,0,0,0,0.9424956871765382,832,404,2,1,0,1,0,0,0,1,1,0,0,1,0,1,48,36,0,9,0.0,0.1875,0,0,0,0,0.0,0.0
Buggy 9 : Parser,6,6,0,0,0,0,0,10,3,0,2,1,0,0.8333333333333334,376,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,24,12,2,1,0.083333336,0.041666668,2,0,0,0,1.0,0.0
Buggy 10 : Parser,6,6,0,0,0,0,0,10,3,0,2,1,0,0.8333333333333334,377,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,24,12,2,1,0.083333336,0.041666668,2,0,0,0,1.0,0.0
Buggy 11 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9465811965811965,863,419,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Buggy 12 : GnuParser,2,2,0,0,0,0,0,3,0,0,0,0,0,0.0,101,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,24,1,1,0,0.041666668,0.0,1,0,0,0,0.0,0.0
Buggy 13 : WriteableCommandLine,1,1,0,0,0,0,0,2,0,0,0,0,0,-1.0,75,48,0,0,1,0,0,7,0,1,1,0,0,1,0,1,29,7,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 14 : GroupImpl,20,20,0,0,0,0,0,11,9,0,9,0,0,0.8264802631578947,413,75,2,0,0,2,0,0,0,4,0,4,0,0,0,2,30,2,1,0,0.033333335,0.0,1,0,0,0,0.0,0.0
Buggy 15 : WriteableCommandLineImpl,14,14,0,0,0,0,0,7,9,0,9,0,0,0.8923395445134575,220,24,1,0,0,1,0,0,0,1,1,0,0,1,0,4,46,21,20,0,0.4347826,0.0,20,0,0,0,0.1764706,0.0
Buggy 16 : Option,4,4,0,0,0,0,0,3,0,0,0,0,0,-1.0,198,151,0,0,1,0,0,14,3,2,0,2,0,0,0,0,14,14,0,1,0.0,0.071428575,0,0,0,0,0.0,0.0
Buggy 17 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.6031746031746033,287,126,1,0,0,0,0,0,0,0,0,0,0,0,0,3,30,7,1,0,0.033333335,0.0,1,0,0,0,0.0,0.0
Buggy 18 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5535714285714286,278,120,1,0,0,0,0,0,0,0,0,0,0,0,0,3,30,7,1,0,0.033333335,0.0,1,0,0,0,0.0,0.0
Buggy 19 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5,275,120,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Buggy 20 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5,274,120,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Buggy 21 : WriteableCommandLine,1,1,0,0,0,0,0,2,0,0,0,0,0,-1.0,97,68,0,0,1,0,0,9,0,1,1,0,0,1,0,1,33,9,0,1,0.0,0.030303031,0,0,0,0,0.0,0.0
Buggy 22 : PosixParser,4,4,0,0,0,0,0,3,3,0,3,0,0,0.6166666666666667,246,111,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Buggy 23 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9420512820512821,847,418,2,1,0,1,0,0,0,2,2,0,0,2,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Buggy 24 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9413919413919414,856,423,2,1,0,1,0,0,0,2,2,0,0,2,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Buggy 25 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9413919413919414,855,423,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Buggy 26 : OptionBuilder,0,0,0,0,0,0,0,2,9,0,9,0,0,0.8263157894736842,315,168,1,0,0,0,0,0,0,4,4,0,0,4,0,1,31,19,0,7,0.0,0.22580644,0,0,0,0,0.0,0.0
Buggy 27 : OptionGroup,5,5,0,0,0,0,0,3,4,0,4,0,0,0.7857142857142857,151,53,1,0,0,1,0,0,0,2,0,2,0,0,0,2,19,8,1,0,0.05263158,0.0,1,0,0,0,0.0,0.0
Buggy 28 : Parser,7,7,0,0,0,0,0,10,3,0,2,1,0,0.8333333333333334,360,133,1,0,0,1,1,1,3,13,2,11,0,2,0,2,24,12,2,1,0.083333336,0.041666668,2,0,0,0,1.0,0.0
Buggy 29 : Util,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,72,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 30 : DefaultParser,5,5,0,0,0,0,0,12,7,0,0,7,0,0.8331374853113984,613,206,1,0,0,1,0,0,0,22,1,21,0,1,0,2,35,23,2,1,0.057142857,0.028571429,2,0,0,0,1.0,0.0
Buggy 31 : HelpFormatter,7,7,0,0,0,0,0,4,18,16,1,1,0,0.9451219512195121,886,441,2,1,0,1,0,0,0,1,1,0,0,1,0,1,52,40,0,9,0.0,0.17307693,0,0,0,0,0.0,0.0
Buggy 32 : HelpFormatter,8,8,0,0,0,0,0,4,18,16,1,1,0,0.9488283118125299,883,440,2,1,0,1,0,0,0,1,1,0,0,1,0,1,52,40,0,9,0.0,0.17307693,0,0,0,0,0.0,0.0
Buggy 33 : HelpFormatter,11,8,3,0,0,0,0,4,18,16,1,1,0,0.9488283118125299,891,450,2,1,0,1,0,0,0,1,1,0,0,1,0,1,52,40,0,9,0.0,0.17307693,0,0,0,0,0.0,0.0
Buggy 34 : Option,3,3,0,0,0,0,0,2,13,2,11,0,0,0.9219512195121952,621,309,1,0,0,2,0,0,0,9,9,0,1,8,0,3,49,41,4,2,0.08163265,0.040816326,4,0,0,0,0.0,0.25
