 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : CommandLine,6,6,0,0,0,0,0,3,2,0,2,0,0,0.8914027149321266,278,152,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,17,0,6,0.0,0.20689656,0,0,0,0,0.0,0.0
Fixed 2 : PosixParser,3,3,0,0,0,0,0,3,4,0,4,0,0,0.6233766233766234,286,123,1,0,0,0,0,0,0,0,0,0,0,0,0,3,27,7,1,0,0.037037037,0.0,1,0,0,0,0.0,0.0
Fixed 3 : TypeHandler,4,4,0,0,0,0,0,1,0,0,0,0,0,0.8888888888888888,239,76,1,0,0,0,0,0,0,6,6,0,5,1,0,1,21,9,0,1,0.0,0.04761905,0,0,0,0,0.0,0.0
Fixed 4 : Parser,6,6,0,0,0,0,0,10,3,0,3,0,0,0.7611111111111111,367,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,21,9,4,0,0.1904762,0.0,4,0,0,0,1.0,0.0
Fixed 5 : Util,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,66,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 7 : PatternBuilder,11,11,0,0,0,0,0,12,4,0,4,0,0,0.7125,180,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 8 : HelpFormatter,7,7,0,0,0,0,0,4,15,15,0,0,0,0.9424956871765382,832,404,2,1,0,1,0,0,0,1,1,0,0,1,0,1,48,36,0,9,0.0,0.1875,0,0,0,0,0.0,0.0
Fixed 9 : Parser,6,6,0,0,0,0,0,10,3,0,2,1,0,0.8333333333333334,377,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,24,12,2,1,0.083333336,0.041666668,2,0,0,0,1.0,0.0
Fixed 10 : Parser,7,7,0,0,0,0,0,10,3,0,2,1,0,0.8333333333333334,378,137,1,0,0,1,1,1,3,12,2,10,0,2,0,2,24,12,2,1,0.083333336,0.041666668,2,0,0,0,1.0,0.0
Fixed 11 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9465811965811965,863,419,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Fixed 12 : GnuParser,2,2,0,0,0,0,0,3,0,0,0,0,0,0.0,106,33,1,0,0,0,0,0,0,0,0,0,0,0,0,3,24,1,1,0,0.041666668,0.0,1,0,0,0,0.0,0.0
Fixed 13 : WriteableCommandLine,1,1,0,0,0,0,0,2,0,0,0,0,0,-1.0,76,48,0,0,1,0,0,8,0,1,1,0,0,1,0,1,30,8,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 14 : GroupImpl,20,20,0,0,0,0,0,11,9,0,9,0,0,0.8264802631578947,413,75,2,0,0,2,0,0,0,4,0,4,0,0,0,2,30,2,1,0,0.033333335,0.0,1,0,0,0,0.0,0.0
Fixed 15 : WriteableCommandLineImpl,14,14,0,0,0,0,0,7,9,0,9,0,0,0.8829365079365079,229,24,1,0,0,1,0,0,0,1,1,0,0,1,0,4,46,21,20,0,0.4347826,0.0,20,0,0,0,0.1764706,0.0
Fixed 16 : Option,4,4,0,0,0,0,0,3,0,0,0,0,0,-1.0,200,151,0,0,1,0,0,16,3,2,0,2,0,0,0,0,16,16,0,1,0.0,0.0625,0,0,0,0,0.0,0.0
Fixed 17 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.6031746031746033,288,126,1,0,0,0,0,0,0,0,0,0,0,0,0,3,30,7,1,0,0.033333335,0.0,1,0,0,0,0.0,0.0
Fixed 18 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5,275,120,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Fixed 19 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5,274,120,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Fixed 20 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5666666666666667,278,121,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Fixed 21 : WriteableCommandLine,1,1,0,0,0,0,0,2,0,0,0,0,0,-1.0,99,68,0,0,1,0,0,11,0,1,1,0,0,1,0,1,35,11,0,1,0.0,0.028571429,0,0,0,0,0.0,0.0
Fixed 22 : PosixParser,4,4,0,0,0,0,0,3,4,0,4,0,0,0.5666666666666667,250,111,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,6,1,0,0.03448276,0.0,1,0,0,0,0.0,0.0
Fixed 23 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9413919413919414,846,418,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Fixed 24 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9413919413919414,855,423,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
Fixed 25 : HelpFormatter,7,7,0,0,0,0,0,4,16,15,0,1,0,0.9413919413919414,855,423,2,1,0,1,0,0,0,1,1,0,0,1,0,1,50,38,0,9,0.0,0.18,0,0,0,0,0.0,0.0
