 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : Flat3Map,16,16,0,0,0,0,0,16,21,0,21,0,0,0.870827286,1055,232,8,7,0,7,0,0,0,19,19,0,4,14,1,5,43,21,28,0,0.6511628,0,28,0,0,0,0.375,0.035714287
Buggy 2 : ExtendedProperties,19,19,0,0,0,0,0,3,10,0,1,8,1,0.870757576,1545,795,3,2,0,0,0,0,0,29,29,0,9,20,0,6,120,57,0,21,0,0.175,0,0,0,14,0,0
Buggy 3 : CollectionUtils,17,17,0,0,0,0,0,13,2,1,1,0,0,0.846172658,1153,607,1,0,0,0,0,0,0,16,16,0,0,16,0,1,59,47,0,9,0,0.15254237,0,0,0,3,0,0
Buggy 4 : MultiValueMap,12,12,0,0,0,0,0,11,6,0,6,0,0,0.853623188,405,188,4,3,0,3,0,0,0,3,2,1,1,1,0,4,61,16,8,2,0.13114753,0.032786883,8,0,0,0,0.5714286,0
Buggy 5 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.797647059,307,135,3,2,0,0,0,0,0,3,3,0,0,3,0,9,77,18,17,0,0.22077923,0,17,0,0,0,0.41666666,0.7058824
Buggy 6 : Flat3Map,16,16,0,0,0,0,0,16,21,0,21,0,0,0.870827286,1062,232,8,7,0,7,0,0,0,19,19,0,4,14,1,5,43,21,28,0,0.6511628,0,28,0,0,0,0.375,0.035714287
Buggy 7 : ExtendedProperties,20,20,0,0,0,0,0,4,11,0,2,8,1,0.870548332,1593,819,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,58,0,21,0,0.17355372,0,0,0,14,0,0
Buggy 8 : UnboundedFifoBuffer,9,9,0,0,0,0,0,2,6,0,3,3,0,0.733333333,282,122,1,0,0,2,0,0,0,10,8,2,3,4,0,6,37,10,7,0,0.1891892,0,7,0,0,0,0.16666667,0
Buggy 9 : ExtendedProperties,20,20,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1605,819,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Buggy 10 : MultiValueMap,16,15,1,0,0,0,0,11,6,0,6,0,0,0.868965517,438,207,4,3,0,3,0,0,0,6,5,1,4,1,0,4,63,18,8,2,0.12698413,0.031746034,8,0,0,0,0.5714286,0
Buggy 11 : MultiKey,4,2,2,0,0,0,0,1,3,0,3,0,0,0.738095238,256,168,1,0,0,1,0,0,0,1,1,0,0,1,0,2,16,7,3,0,0.1875,0,3,0,0,0,0,0
