 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : Flat3Map,16,16,0,0,0,0,0,16,21,0,21,0,0,0.870827286,1061,232,8,7,0,7,0,0,0,19,19,0,4,14,1,5,43,21,28,0,0.6511628,0,28,0,0,0,0.375,0.035714287
Fixed 2 : ExtendedProperties,19,19,0,0,0,0,0,3,11,0,2,8,1,0.872767857,1556,797,3,2,0,0,0,0,0,29,29,0,9,20,0,6,120,57,0,21,0,0.175,0,0,0,14,0,0
Fixed 3 : CollectionUtils,17,17,0,0,0,0,0,13,2,1,1,0,0,0.846172658,1153,607,1,0,0,0,0,0,0,16,16,0,0,16,0,1,59,47,0,9,0,0.15254237,0,0,0,3,0,0
Fixed 4 : MultiValueMap,12,12,0,0,0,0,0,11,6,0,6,0,0,0.853623188,406,190,4,3,0,3,0,0,0,3,2,1,1,1,0,4,61,16,8,2,0.13114753,0.032786883,8,0,0,0,0.5714286,0
Fixed 5 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.806666667,311,135,3,2,0,0,0,0,0,3,3,0,0,3,0,9,77,18,17,0,0.22077923,0,17,0,0,0,0.41666666,0.7058824
Fixed 6 : Flat3Map,16,16,0,0,0,0,0,16,21,0,21,0,0,0.870827286,1062,232,8,7,0,7,0,0,0,19,19,0,4,14,1,5,43,21,28,0,0.6511628,0,28,0,0,0,0.375,0.035714287
Fixed 7 : ExtendedProperties,20,20,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1605,819,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Fixed 8 : UnboundedFifoBuffer,9,9,0,0,0,0,0,2,6,0,3,3,0,0.740384615,284,122,1,0,0,2,0,0,0,10,8,2,3,4,0,6,37,10,7,0,0.1891892,0,7,0,0,0,0.16666667,0
Fixed 9 : ExtendedProperties,20,20,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1605,819,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Fixed 10 : MultiValueMap,16,16,0,0,0,0,0,11,7,0,7,0,0,0.873333333,439,207,4,3,0,5,0,0,0,6,5,1,4,1,0,5,63,18,8,2,0.12698413,0.031746034,8,0,0,0,0.5714286,0
