 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : CpioArchiveOutputStream,6,6,0,0,0,0,0,5,8,0,8,0,0,0.9100346020761245,376,121,1,0,0,1,0,0,0,24,24,0,22,2,0,7,32,17,5,0,0.15625,0.0,5,0,0,0,0.25,0.2
Fixed 2 : ArArchiveInputStream,4,4,0,0,0,0,0,3,5,0,5,0,0,0.8131868131868132,184,25,1,0,0,0,0,0,0,10,10,0,10,0,0,5,30,7,5,0,0.16666667,0.0,5,0,0,0,0.33333334,0.0
Fixed 3 : TarArchiveOutputStream,5,5,0,0,0,0,0,5,14,3,10,1,0,0.8047619047619048,282,111,1,0,0,0,0,0,0,12,12,0,11,1,0,6,25,10,7,0,0.28,0.0,7,0,0,0,0.0,0.0
Fixed 4 : CpioArchiveOutputStream,8,8,0,0,0,0,0,6,8,0,8,0,0,0.8962962962962963,351,108,1,0,0,1,0,0,0,25,25,0,23,2,0,7,31,15,6,0,0.19354838,0.0,6,0,0,0,0.0,0.0
Fixed 5 : ZipArchiveInputStream,10,10,0,0,0,0,0,10,17,0,17,0,0,0.8390243902439024,307,45,1,0,0,0,0,0,1,18,18,0,16,2,0,5,36,10,4,0,0.11111111,0.0,4,0,0,0,0.0,0.0
Fixed 6 : ZipArchiveEntry,5,5,0,0,0,0,0,5,10,2,8,0,0,0.9333333333333333,433,189,1,0,0,2,0,0,1,11,11,0,5,6,0,6,59,30,9,0,0.15254237,0.0,9,0,0,0,0.11111111,0.22222222
Fixed 7 : TarUtils,0,0,0,0,0,0,0,0,1,0,1,0,0,0.7222222222222222,229,123,1,0,0,0,0,0,0,2,2,0,0,2,0,1,20,8,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 8 : TarUtils,0,0,0,0,0,0,0,0,1,0,1,0,0,0.7727272727272727,262,128,1,0,0,0,0,0,0,4,4,0,0,4,0,1,21,9,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 9 : TarArchiveOutputStream,7,7,0,0,0,0,0,7,15,3,11,1,0,0.8181818181818181,319,109,1,0,0,0,0,0,0,17,17,0,16,1,0,6,30,12,9,0,0.3,0.0,0,0,0,0,0.0,0.0
Fixed 10 : ZipFile,20,15,5,0,0,0,0,14,32,0,30,0,2,0.9302536231884058,882,380,4,3,0,0,0,0,0,31,31,0,28,1,0,1,27,19,4,0,0.14814815,0.0,0,0,0,0,0.6666667,0.5
Fixed 11 : ArchiveStreamFactory,15,15,0,0,0,0,0,14,6,6,0,0,0,0.5151515151515151,240,95,1,0,0,0,0,0,0,15,8,7,2,6,0,1,15,3,0,1,0.0,0.06666667,0,0,0,0,0.0,0.0
Fixed 12 : TarArchiveInputStream,10,10,0,0,0,0,0,8,8,0,7,1,0,0.9159090909090909,501,164,1,0,0,0,0,0,0,14,14,0,12,2,0,5,45,19,8,0,0.17777778,0.0,0,2,0,0,0.14285715,0.0
Fixed 13 : ZipArchiveEntry,8,8,0,0,0,0,0,7,14,2,12,0,0,0.9391447368421053,639,285,1,0,0,2,0,0,1,13,13,0,5,8,0,6,65,38,11,2,0.16923077,0.03076923,1,0,0,0,0.09090909,0.18181819
Fixed 14 : TarUtils,0,0,0,0,0,0,0,1,1,0,1,0,0,0.7933333333333333,342,179,1,0,0,0,0,0,0,6,6,0,0,6,0,1,24,12,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 15 : ZipArchiveEntry,8,8,0,0,0,0,0,7,14,2,12,0,0,0.9407894736842105,639,285,1,0,0,1,0,0,1,13,13,0,5,8,0,5,65,38,11,2,0.16923077,0.03076923,1,0,0,0,0.09090909,0.18181819
Fixed 16 : ArchiveStreamFactory,15,15,0,0,0,0,0,14,6,6,0,0,0,0.5151515151515151,243,97,1,0,0,0,0,0,0,15,8,7,2,6,0,1,15,3,0,1,0.0,0.06666667,0,0,0,0,0.0,0.0
Fixed 17 : TarUtils,7,5,2,0,0,0,0,3,3,0,1,0,2,0.8121783876500858,564,254,1,0,0,0,0,0,0,15,15,0,6,9,0,1,31,19,0,2,0.0,0.06451613,0,0,0,0,0.0,0.0
Fixed 18 : TarArchiveOutputStream,13,13,0,0,0,0,0,10,23,7,15,1,0,0.9083333333333333,515,162,1,0,0,0,0,0,0,19,19,0,17,2,0,6,38,20,9,0,0.23684211,0.0,0,0,0,0,0.0,0.0
Fixed 19 : Zip64ExtendedInformationExtraField,3,1,2,0,0,0,0,4,8,0,7,0,1,0.7960784313725491,329,131,1,0,0,1,0,0,0,6,6,0,5,1,0,2,29,17,7,0,0.2413793,0.0,7,0,0,0,0.0,0.0
Fixed 20 : CpioArchiveInputStream,6,5,1,0,0,0,0,5,11,0,11,0,0,0.9078947368421053,476,145,1,0,0,1,0,0,0,27,27,0,24,3,0,6,47,18,5,0,0.10638298,0.0,0,0,0,0,0.2,0.0
Fixed 21 : SevenZOutputFile,14,14,0,0,0,0,0,8,9,0,9,0,0,0.8256501182033097,615,87,2,1,0,0,0,0,0,38,37,1,37,0,0,1,32,28,8,0,0.25,0.0,0,2,0,0,0.6666667,0.375
Fixed 22 : BZip2CompressorInputStream,3,3,0,0,0,0,0,5,48,0,33,0,15,0.9165649165649166,883,151,2,1,0,1,0,0,0,48,48,0,42,6,0,6,55,26,3,0,0.054545455,0.0,0,0,0,0,0.5,0.0
Fixed 23 : Coders,20,20,0,0,0,0,0,19,6,0,3,0,3,0.89272030651341,254,13,9,8,0,0,1,1,0,24,24,0,22,1,0,1,1,2,13,0,13.0,0.0,0,1,0,0,0.75,0.15384616
