 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : ExtendedBufferedReader,3,3,0,0,0,0,0,0,4,0,2,0,2,0.7333333333333334,138,52,1,0,0,0,0,0,0,4,4,0,4,0,0,6,41,6,3,0,0.07317073,0.0,0,0,0,0,0.5,1.0
Buggy 2 : CSVRecord,4,4,0,0,0,0,0,0,6,0,6,0,0,0.8051948051948052,145,70,1,0,0,2,0,0,0,1,1,0,0,1,0,3,24,11,2,1,0.083333336,0.041666668,1,0,0,0,0.0,0.0
Buggy 3 : Lexer,8,1,7,0,0,0,0,3,9,0,5,0,4,0.8601398601398601,158,47,1,0,0,0,1,1,1,4,4,0,4,0,0,1,25,13,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 4 : CSVParser,16,15,1,0,0,0,0,8,7,0,7,0,0,0.9470588235294117,423,223,1,0,0,2,0,0,0,15,15,0,10,4,0,4,27,13,2,2,0.074074075,0.074074075,2,0,0,0,0.0,0.0
Buggy 5 : CSVPrinter,9,5,4,0,0,0,0,5,3,0,3,0,0,0.7857142857142857,389,139,1,0,0,2,0,0,0,14,14,0,14,0,0,4,26,14,2,4,0.07692308,0.15384616,2,0,0,0,0.0,0.0
Buggy 6 : CSVRecord,7,7,0,0,0,0,0,3,6,0,6,0,0,0.8518518518518519,198,94,1,0,0,2,0,0,0,4,4,0,0,4,0,3,28,15,2,2,0.071428575,0.071428575,1,0,0,0,0.0,0.0
Buggy 7 : CSVParser,17,16,1,0,0,0,0,9,7,0,7,0,0,0.9532163742690059,448,244,1,0,0,2,0,0,0,17,17,0,11,5,0,4,28,14,2,3,0.071428575,0.10714286,2,0,0,0,0.0,0.0
Buggy 8 : CSVFormat,14,7,7,0,0,0,0,4,17,5,12,0,0,0.7959866220735786,845,480,1,0,0,1,0,0,0,16,16,0,2,14,0,2,48,39,3,5,0.0625,0.104166664,0,0,0,8,0.0,0.0
Buggy 9 : CSVRecord,7,7,0,0,0,0,0,3,6,0,6,0,0,0.8518518518518519,200,94,1,0,0,2,0,0,0,4,4,0,0,4,0,3,28,15,2,2,0.071428575,0.071428575,1,0,0,0,0.0,0.0
Buggy 10 : CSVPrinter,9,5,4,0,0,0,0,5,3,0,3,0,0,0.7857142857142857,401,147,1,0,0,2,0,0,0,16,16,0,15,1,0,4,26,14,2,4,0.07692308,0.15384616,2,0,0,0,0.0,0.0
Buggy 11 : CSVParser,19,17,2,0,0,0,1,9,7,0,7,0,0,0.952020202020202,467,255,1,0,0,2,0,0,0,18,18,0,11,6,0,4,28,14,2,3,0.071428575,0.10714286,2,0,0,0,0.0,0.0
Buggy 12 : CSVFormat,14,7,7,0,0,0,0,4,18,5,13,0,0,0.8085714285714286,949,558,1,0,0,1,0,0,0,17,17,0,3,14,0,2,51,42,3,5,0.05882353,0.09803922,0,0,0,8,0.0,0.0
Buggy 13 : CSVFormat,17,10,7,0,0,0,0,4,21,5,16,0,0,0.8513655462184874,1205,738,1,0,0,1,0,0,0,19,19,0,5,14,0,2,64,55,3,12,0.046875,0.1875,0,0,0,8,0.0,0.0
Buggy 14 : CSVFormat,25,15,10,0,0,0,0,7,25,7,18,0,0,0.9049933716305789,1676,992,1,0,0,1,0,0,0,28,28,0,13,15,0,2,81,72,3,19,0.037037037,0.2345679,0,0,0,8,0.0,0.0
Buggy 15 : CSVFormat,27,16,11,0,0,0,0,6,28,9,19,0,0,0.9054655870445344,1833,1092,1,0,0,1,0,0,0,29,29,0,14,15,0,2,84,75,3,19,0.035714287,0.22619048,0,0,0,8,0.0,0.0
Buggy 16 : CSVParser,21,20,1,0,0,0,0,8,8,0,8,0,0,0.9505494505494505,579,331,1,0,0,2,0,0,0,21,21,0,14,6,0,4,28,17,5,5,0.17857143,0.17857143,0,0,0,0,0.0,0.0
