 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : BeanPropertyWriter,17,17,0,0,0,0,2,27,19,1,0,18,0,0.932330827,641,264,1,0,0,1,0,0,3,12,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222,0
Fixed 2 : TokenBuffer,10,9,1,0,0,0,3,45,30,1,1,28,0,0.969011494,1560,396,3,2,0,0,0,0,0,62,62,0,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222,0
Fixed 3 : StringArrayDeserializer,7,5,2,0,0,0,2,17,3,1,1,1,0,0.644444444,135,24,1,0,0,1,0,0,0,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fixed 4 : StringArrayDeserializer,7,5,2,0,0,0,2,17,3,1,1,1,0,0.644444444,145,26,1,0,0,1,0,0,0,7,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fixed 5 : AnnotatedClass,7,7,0,0,0,0,2,16,13,0,1,12,0,0.926195197,939,298,1,0,0,0,0,0,0,2,2,0,1,1,0,2,66,51,10,4,0.15151516,0.060606062,0,0,0,0,0,0
Fixed 6 : StdDateFormat,7,7,0,0,0,0,1,2,18,1,2,15,0,0.884210526,447,154,1,0,0,0,0,0,0,2,2,0,2,0,0,5,60,20,6,2,0.1,0.033333335,0,0,0,0,0.2,0
Fixed 7 : TokenBuffer,10,9,1,0,0,0,3,45,30,1,1,28,0,0.968545455,1575,400,3,2,0,0,0,0,0,62,62,0,55,7,0,5,60,20,6,2,0.1,0.033333335,0,0,0,0,0.2,0
Fixed 8 : CreatorCollector,13,13,0,0,0,0,2,15,22,3,2,17,0,0.936585366,321,85,2,1,0,1,0,0,0,4,4,0,1,3,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0,0
Fixed 9 : StdKeySerializer,9,8,1,0,0,0,1,8,0,0,0,0,0,0.666666667,44,5,1,0,0,0,0,0,0,3,1,2,1,0,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0,0
Fixed 10 : AnyGetterWriter,5,4,1,0,0,0,2,10,4,0,0,4,0,0.333333333,86,16,1,0,0,0,0,0,0,5,2,3,2,0,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0,0
Fixed 11 : TypeFactory,6,6,0,0,0,0,2,20,12,0,2,10,0,0.951894423,1025,468,1,0,0,1,0,0,0,12,12,0,0,12,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0,0
Fixed 12 : MapDeserializer,12,10,2,0,0,0,4,31,17,2,5,10,0,0.863545151,612,155,3,2,0,2,0,0,0,22,17,5,15,2,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0.11111111,0
Fixed 13 : DefaultDeserializationContext,13,13,0,0,0,0,2,33,4,0,3,1,0,0.872727273,290,83,2,1,0,1,1,2,0,8,5,3,0,5,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0.5714286,0.125
Fixed 14 : ObjectReader,20,19,1,0,0,0,2,48,14,0,2,12,0,0.920811287,1581,718,1,0,0,2,0,0,0,59,54,5,47,7,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0.5714286,0.125
Fixed 15 : JavaType,3,3,0,0,0,0,0,5,6,0,1,5,0,0.940740741,403,259,1,0,0,2,1,14,1,1,1,0,0,1,0,1,29,21,4,8,0.13793103,0.27586207,0,0,0,0,0.5714286,0.125
Fixed 16 : AnnotationMap,3,3,0,0,0,0,1,4,1,0,0,1,0,0.6,100,26,1,0,0,1,0,0,0,0,0,0,0,0,0,2,19,8,3,0,0.15789473,0,0,0,0,0,0,0
Fixed 17 : ObjectMapper,30,26,4,0,0,0,11,107,21,0,3,18,0,0.96826087,2905,1500,2,1,0,3,0,0,0,116,74,42,61,13,0,2,19,8,3,0,0.15789473,0,0,0,0,0,0,0
Fixed 18 : MappingIterator,4,3,1,0,0,0,2,21,13,0,0,13,0,0.9,370,170,1,0,0,2,0,0,0,17,13,4,9,4,0,4,30,17,4,2,0.13333334,0.06666667,0,0,0,0,0,0
Fixed 19 : TypeFactory,7,7,0,0,0,0,2,21,12,0,2,10,0,0.952611219,1098,497,1,0,0,1,0,0,0,12,12,0,0,12,0,4,30,17,4,2,0.13333334,0.06666667,0,0,0,0,0,0
Fixed 20 : ObjectNode,15,12,3,0,0,0,1,18,1,0,0,1,0,0.901836158,734,333,1,0,0,0,0,0,0,4,4,0,2,2,0,4,30,17,4,2,0.13333334,0.06666667,0,0,0,0,0,0
Fixed 21 : JacksonAnnotationIntrospector,18,16,2,0,0,0,5,91,1,0,1,0,0,0.795566502,902,176,1,0,0,1,0,0,0,2,2,0,1,1,0,4,30,17,4,2,0.13333334,0.06666667,0,0,0,0,0,0
