 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,947,517,2,1,0,3,0,0,0,14,14,0,0,14,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Buggy 2 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,944,517,2,1,0,3,0,0,0,14,14,0,0,14,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Buggy 3 : MutableDateTime,13,11,2,0,0,0,0,19,12,6,6,0,0,0.9692592592592593,1352,859,2,1,0,3,0,0,0,12,12,0,4,7,1,16,132,73,43,6,0.32575756,0.045454547,43,0,0,0,0.1388889,0.069767445
Buggy 4 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,942,517,2,1,0,3,0,0,0,14,14,0,0,14,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Buggy 5 : Period,7,6,1,0,0,0,0,21,2,1,1,0,0,0.8048036599313763,1548,1089,1,0,0,2,0,0,0,8,8,0,0,8,0,7,102,61,1,2,0.009803922,0.019607844,1,0,0,0,0.0,0.0
Buggy 6 : GJChronology,18,17,1,0,0,0,0,22,18,0,11,2,5,0.9031491384432561,988,276,4,3,0,0,0,0,0,8,5,3,0,5,0,5,80,24,9,4,0.1125,0.05,9,0,0,0,0.125,0.0
Buggy 7 : DateTimeFormatter,15,14,1,0,0,0,0,16,8,0,8,0,0,0.8615725359911406,897,527,1,0,0,0,0,0,0,16,16,0,7,9,0,1,55,43,0,13,0.0,0.23636363,0,0,0,2,0.0,0.0
Buggy 8 : DateTimeZone,25,23,2,0,0,0,0,21,13,1,12,0,0,0.952085402184707,1241,649,2,1,0,2,1,7,4,32,30,2,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Buggy 9 : DateTimeZone,25,23,2,0,0,0,0,21,12,1,11,0,0,0.9516981132075472,1216,631,2,1,0,2,1,7,4,30,28,2,7,21,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Buggy 10 : BaseSingleFieldPeriod,13,13,0,0,0,0,0,13,2,0,2,0,0,0.9117647058823529,321,166,1,0,0,3,1,2,7,9,9,0,0,9,0,4,28,17,10,1,0.35714287,0.035714287,10,1,0,0,0.2,0.0
Buggy 11 : ZoneInfoCompiler,27,27,0,0,0,0,0,17,27,19,5,0,3,0.9302248677248677,745,83,5,4,0,0,0,0,0,16,16,0,7,7,2,1,24,15,3,0,0.125,0.0,3,0,0,0,1.0,0.0
Buggy 12 : LocalDate,22,19,3,0,0,0,0,26,11,0,11,0,0,0.9477090785215466,1975,1312,2,1,0,2,0,0,0,21,21,0,3,18,0,9,108,85,12,10,0.11111111,0.09259259,12,0,0,0,0.36363637,0.25
Buggy 13 : PeriodFormatterBuilder,12,12,0,0,0,0,0,18,51,0,50,0,1,0.955219817612631,1684,508,8,8,1,11,0,5,0,23,23,0,8,15,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
Buggy 14 : BasicMonthOfYearDateTimeField,7,7,0,0,0,0,0,8,5,0,5,0,0,0.8689839572192514,322,118,1,0,0,0,0,0,1,1,1,0,0,1,0,4,64,17,16,0,0.25,0.0,16,0,0,0,0.071428575,0.0625
Buggy 15 : FieldUtils,3,3,0,0,0,0,0,4,0,0,0,0,0,0.8740740740740741,304,150,1,0,0,0,0,0,0,12,9,3,0,9,0,1,27,15,0,6,0.0,0.22222222,0,0,0,5,0.0,0.0
Buggy 16 : DateTimeFormatter,15,14,1,0,0,0,0,16,8,0,8,0,0,0.859714928732183,893,524,1,0,0,0,0,0,0,16,16,0,7,9,0,1,55,43,0,13,0.0,0.23636363,0,0,0,2,0.0,0.0
Buggy 17 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.949685534591195,1205,629,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Buggy 18 : GJChronology,17,17,0,0,0,0,0,22,18,0,11,2,5,0.9024242424242425,961,273,4,3,0,0,0,0,0,7,5,2,0,5,0,5,80,24,9,4,0.1125,0.05,9,0,0,0,0.125,0.11111111
Buggy 19 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.949685534591195,1198,621,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Buggy 20 : DateTimeFormatterBuilder,19,19,0,0,0,0,0,32,34,0,24,6,4,0.9665275994865212,2515,724,14,13,0,19,1,0,0,71,71,0,26,45,0,1,86,74,0,11,0.0,0.12790698,0,0,0,0,0.0,0.0
Buggy 22 : BasePeriod,16,15,1,0,0,0,0,16,3,0,3,0,0,0.8535353535353536,582,297,1,0,0,2,1,0,2,8,8,0,0,8,0,5,42,22,4,2,0.0952381,0.04761905,4,0,0,0,0.0,0.0
Buggy 23 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.949685534591195,1197,621,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Buggy 24 : DateTimeParserBucket,10,10,0,0,0,0,0,11,19,0,11,0,8,0.9116161616161617,463,200,3,2,0,1,0,0,0,2,1,1,0,1,0,1,31,19,0,5,0.0,0.16129032,0,0,0,0,0.0,0.0
Buggy 25 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.9456654456654456,1172,611,2,1,0,2,1,7,4,30,30,0,7,23,0,2,53,45,4,4,0.0754717,0.0754717,4,1,0,0,0.33333334,0.0
Buggy 26 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.9438351611831173,1159,608,2,1,0,2,1,7,4,30,30,0,7,23,0,2,52,44,4,3,0.07692308,0.057692308,4,1,0,0,0.33333334,0.0
Buggy 27 : PeriodFormatterBuilder,12,12,0,0,0,0,0,18,51,0,50,0,1,0.955219817612631,1682,508,8,8,1,11,0,5,0,23,23,0,8,15,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
