 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,956,517,2,1,0,3,0,0,0,16,16,0,0,16,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Fixed 2 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,947,517,2,1,0,3,0,0,0,14,14,0,0,14,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Fixed 3 : MutableDateTime,13,11,2,0,0,0,0,19,12,6,6,0,0,0.9692592592592593,1372,859,2,1,0,3,0,0,0,12,12,0,4,7,1,16,132,73,43,6,0.32575756,0.045454547,43,0,0,0,0.1388889,0.069767445
Fixed 4 : Partial,11,11,0,0,0,0,0,17,8,0,8,0,0,0.863231850117096,942,517,2,1,0,3,0,0,0,14,14,0,0,14,0,8,50,24,8,2,0.16,0.04,8,0,0,0,0.25,0.0
Fixed 5 : Period,7,6,1,0,0,0,0,21,2,1,1,0,0,0.8164647184604419,1554,1089,1,0,0,2,0,0,0,9,9,0,0,9,0,7,102,61,1,2,0.009803922,0.019607844,1,0,0,0,0.0,0.0
Fixed 6 : GJChronology,18,18,0,0,0,0,0,23,18,0,11,2,5,0.9071969696969697,1014,276,4,3,0,0,0,0,0,9,6,3,0,6,0,5,80,24,9,4,0.1125,0.05,9,0,0,0,0.125,0.0
Fixed 7 : DateTimeFormatter,15,14,1,0,0,0,0,16,8,0,8,0,0,0.8615725359911406,897,527,1,0,0,0,0,0,0,16,16,0,7,9,0,1,55,43,0,13,0.0,0.23636363,0,0,0,2,0.0,0.0
Fixed 8 : DateTimeZone,25,23,2,0,0,0,0,21,13,1,12,0,0,0.952085402184707,1244,649,2,1,0,2,1,7,4,33,31,2,7,24,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Fixed 9 : DateTimeZone,25,23,2,0,0,0,0,21,13,1,12,0,0,0.952085402184707,1223,631,2,1,0,2,1,7,4,32,30,2,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Fixed 10 : BaseSingleFieldPeriod,13,13,0,0,0,0,0,13,3,0,3,0,0,0.913312693498452,322,166,1,0,0,3,1,2,7,9,9,0,0,9,0,4,28,17,10,1,0.35714287,0.035714287,10,1,0,0,0.2,0.0
