 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : NumberInput,1,1,0,0,0,0,0,0,4,1,0,0,3,0.7791563275434243,288,62,1,0,0,0,0,0,0,9,9,0,0,9,0,1,25,13,0,5,0.0,0.2,0,0,0,0,0.0,0.0
Buggy 2 : ReaderBasedJsonParser,7,7,0,0,0,0,3,13,8,0,1,7,0,0.8813131313131313,1871,411,1,0,0,0,0,0,0,63,48,15,47,1,0,7,167,51,23,1,0.13772455,0.005988024,0,0,0,0,0.045454547,0.17391305
Buggy 3 : UTF8StreamJsonParser,9,8,1,0,0,0,5,16,12,0,3,8,1,0.9058740268931351,3021,638,1,0,0,0,0,0,0,98,68,30,67,1,0,7,196,81,25,5,0.12755102,0.025510205,0,0,0,0,0.041666668,0.12
Buggy 4 : TextBuffer,4,4,0,0,0,0,0,3,14,0,11,0,3,0.7956989247311828,637,247,1,0,0,0,0,0,0,2,2,0,0,2,0,1,42,31,1,3,0.023809524,0.071428575,0,0,0,0,0.0,0.0
Buggy 5 : JsonPointer,1,1,0,0,0,0,0,2,5,0,0,5,0,0.8352941176470589,241,119,1,0,0,0,0,0,0,2,2,0,0,2,0,1,26,17,3,0,0.115384616,0.0,0,0,0,0,0.0,0.0
Buggy 6 : JsonPointer,1,1,0,0,0,0,0,2,5,0,0,5,0,0.8352941176470589,242,120,1,0,0,0,0,0,0,2,2,0,0,2,0,1,26,17,3,0,0.115384616,0.0,0,0,0,0,0.0,0.0
Buggy 7 : JsonWriteContext,1,1,0,0,0,0,1,5,12,6,0,6,0,0.875,186,66,1,0,0,0,0,0,0,3,0,3,0,0,0,2,33,16,5,1,0.15151516,0.030303031,0,0,0,0,0.0,0.0
Buggy 8 : TextBuffer,4,4,0,0,0,0,0,3,14,0,11,0,3,0.80078125,655,253,1,0,0,0,0,0,0,2,2,0,0,2,0,1,43,32,1,3,0.023255814,0.069767445,0,0,0,0,0.0,0.0
Buggy 9 : ParserMinimalBase,7,6,1,0,0,0,2,11,19,0,0,19,0,0.9031862745098039,523,139,1,0,0,0,1,13,1,35,22,13,20,2,0,5,118,51,31,1,0.26271185,0.008474576,0,12,0,0,0.10714286,0.0
Buggy 10 : ByteQuadsCanonicalizer,4,4,0,0,0,0,0,4,30,7,8,13,2,0.8373473541383989,1126,423,2,1,0,0,0,0,0,3,3,0,0,3,0,1,54,43,1,13,0.018518519,0.24074075,0,0,0,0,0.0,0.0
Buggy 11 : ByteQuadsCanonicalizer,4,4,0,0,0,0,0,4,30,7,8,13,2,0.8367003367003367,1132,427,2,1,0,0,0,0,0,3,3,0,0,3,0,1,54,43,1,13,0.018518519,0.24074075,0,0,0,0,0.0,0.0
Buggy 12 : ReaderBasedJsonParser,8,7,1,0,0,0,4,14,11,0,0,11,0,0.8807730101539469,2551,478,1,0,0,0,0,0,0,64,64,0,63,1,0,7,198,71,26,1,0.13131313,0.005050505,0,0,0,0,0.083333336,0.115384616
Buggy 13 : JsonGeneratorImpl,8,8,0,0,0,0,1,11,7,0,0,7,0,0.8571428571428572,168,88,1,0,0,0,1,0,2,1,1,0,1,0,0,7,112,9,9,0,0.08035714,0.0,0,0,0,0,0.0,0.22222222
Buggy 14 : IOContext,3,3,0,0,0,0,0,4,10,0,0,10,0,0.856,245,120,1,0,0,0,0,0,0,1,1,0,0,1,0,1,37,25,0,4,0.0,0.10810811,0,0,0,0,0.0,0.0
Buggy 15 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.915158371040724,801,218,1,0,0,0,0,0,0,36,36,0,35,1,0,6,107,52,46,0,0.42990655,0.0,0,0,0,0,0.12195122,0.0
