 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : NumberInput,1,1,0,0,0,0,0,0,4,1,0,0,3,0.7949308755760369,299,62,1,0,0,0,0,0,0,11,11,0,0,11,0,1,26,14,0,5,0.0,0.1923077,0,0,0,0,0.0,0.0
Fixed 2 : ReaderBasedJsonParser,7,7,0,0,0,0,3,13,8,0,1,7,0,0.8824300699300699,1894,411,1,0,0,0,0,0,0,64,49,15,48,1,0,7,168,52,23,1,0.13690476,0.005952381,0,0,0,0,0.045454547,0.17391305
Fixed 3 : UTF8StreamJsonParser,9,8,1,0,0,0,5,16,12,0,3,8,1,0.9058740268931351,3023,638,1,0,0,0,0,0,0,98,68,30,67,1,0,7,196,81,25,5,0.12755102,0.025510205,0,0,0,0,0.041666668,0.12
Fixed 4 : TextBuffer,4,4,0,0,0,0,0,3,14,0,11,0,3,0.7956989247311828,640,247,1,0,0,0,0,0,0,2,2,0,0,2,0,1,42,31,1,3,0.023809524,0.071428575,0,0,0,0,0.0,0.0
Fixed 5 : JsonPointer,1,1,0,0,0,0,0,2,5,0,0,5,0,0.8352941176470589,241,119,1,0,0,0,0,0,0,2,2,0,0,2,0,1,26,17,3,0,0.115384616,0.0,0,0,0,0,0.0,0.0
Fixed 6 : JsonPointer,1,1,0,0,0,0,0,2,5,0,0,5,0,0.8352941176470589,249,120,1,0,0,0,0,0,0,2,2,0,0,2,0,1,26,17,3,0,0.115384616,0.0,0,0,0,0,0.0,0.0
Fixed 7 : JsonWriteContext,1,1,0,0,0,0,1,5,12,6,0,6,0,0.87109375,189,66,1,0,0,0,0,0,0,3,0,3,0,0,0,2,33,16,5,1,0.15151516,0.030303031,0,0,0,0,0.0,0.0
Fixed 8 : TextBuffer,4,4,0,0,0,0,0,3,14,0,11,0,3,0.80078125,655,253,1,0,0,0,0,0,0,2,2,0,0,2,0,1,43,32,1,3,0.023255814,0.069767445,0,0,0,0,0.0,0.0
Fixed 9 : ParserMinimalBase,7,6,1,0,0,0,2,11,19,0,0,19,0,0.9031862745098039,529,139,1,0,0,0,1,13,1,35,22,13,20,2,0,5,118,51,31,1,0.26271185,0.008474576,0,12,0,0,0.10714286,0.0
Fixed 10 : ByteQuadsCanonicalizer,4,4,0,0,0,0,0,4,30,7,8,13,2,0.8367003367003367,1128,425,2,1,0,0,0,0,0,3,3,0,0,3,0,1,54,43,1,13,0.018518519,0.24074075,0,0,0,0,0.0,0.0
Fixed 11 : ByteQuadsCanonicalizer,4,4,0,0,0,0,0,4,30,7,8,13,2,0.8367003367003367,1133,427,2,1,0,0,0,0,0,3,3,0,0,3,0,1,54,43,1,13,0.018518519,0.24074075,0,0,0,0,0.0,0.0
Fixed 12 : ReaderBasedJsonParser,8,7,1,0,0,0,4,14,11,0,0,11,0,0.8806092368162464,2560,478,1,0,0,0,0,0,0,64,64,0,63,1,0,7,198,71,26,1,0.13131313,0.005050505,0,0,0,0,0.083333336,0.115384616
Fixed 13 : JsonGeneratorImpl,8,8,0,0,0,0,1,11,7,0,0,7,0,0.8571428571428572,176,88,1,0,0,0,1,0,2,1,1,0,1,0,0,7,112,10,10,0,0.08928572,0.0,0,0,0,0,0.0,0.3
Fixed 14 : IOContext,3,3,0,0,0,0,0,4,10,0,0,10,0,0.856,245,120,1,0,0,0,0,0,0,1,1,0,0,1,0,1,37,25,0,4,0.0,0.10810811,0,0,0,0,0.0,0.0
Fixed 15 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.9145927601809954,810,218,1,0,0,0,0,0,0,36,36,0,35,1,0,6,107,52,46,0,0.42990655,0.0,0,0,0,0,0.12195122,0.0
Fixed 16 : JsonParserSequence,3,3,0,0,0,0,2,4,3,0,0,3,0,0.7291666666666667,144,65,1,0,0,0,0,0,0,2,2,0,2,0,0,6,112,6,2,0,0.017857144,0.0,0,0,0,0,0.0,0.0
Fixed 17 : UTF8JsonGenerator,5,5,0,0,0,0,3,13,24,0,15,9,0,0.8723386697474831,1865,384,1,0,0,0,0,0,0,80,70,10,70,0,0,8,155,73,35,10,0.22580644,0.06451613,0,0,0,0,0.25,0.028571429
Fixed 18 : GeneratorBase,7,7,0,0,0,0,2,12,17,4,0,13,0,0.9474313022700119,404,182,1,0,0,0,1,3,1,15,15,0,14,1,0,6,118,31,25,0,0.21186441,0.0,0,1,0,0,0.045454547,0.0
Fixed 19 : ReaderBasedJsonParser,8,7,1,0,0,0,4,14,11,0,0,11,0,0.8791613316261203,2571,485,1,0,0,0,0,0,0,64,64,0,63,1,0,7,198,71,26,1,0.13131313,0.005050505,0,0,0,0,0.083333336,0.115384616
Fixed 20 : JsonGenerator,10,9,1,0,0,0,2,18,3,0,2,1,0,0.9799732977303071,1834,1366,1,0,0,3,1,44,2,80,74,6,65,9,0,5,115,103,3,29,0.026086956,0.2521739,0,3,0,10,0.0,0.0
Fixed 21 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.908994708994709,824,221,1,0,0,0,0,0,0,36,36,0,35,1,0,6,117,54,48,0,0.41025642,0.0,0,0,0,0,0.11627907,0.0
Fixed 22 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.9096103896103896,829,220,1,0,0,0,0,0,0,37,37,0,36,1,0,6,118,55,48,0,0.40677965,0.0,0,0,0,0,0.11627907,0.0
Fixed 23 : DefaultPrettyPrinter,3,3,0,0,0,0,2,11,11,3,1,7,0,0.8968253968253969,369,156,3,3,1,5,0,2,0,14,14,0,13,1,0,4,29,21,15,1,0.51724136,0.03448276,0,1,0,0,0.15384616,0.0
Fixed 24 : ParserBase,13,13,0,0,0,0,2,17,27,0,0,27,0,0.955986878075451,1065,394,1,0,0,0,1,1,4,42,37,5,31,6,0,6,179,62,26,2,0.1452514,0.011173184,0,0,0,2,0.0,0.0
Fixed 25 : ReaderBasedJsonParser,8,7,1,0,0,0,4,15,12,0,0,12,0,0.88003663003663,2683,513,1,0,0,0,0,0,0,71,70,1,69,1,0,7,225,78,27,2,0.12,0.008888889,0,0,0,0,0.125,0.11111111
Fixed 26 : NonBlockingJsonParser,9,7,2,0,0,0,1,11,11,0,8,3,0,0.7893824485373782,2690,448,1,0,0,1,0,0,0,62,62,0,62,0,0,10,262,65,7,0,0.026717557,0.0,0,0,0,0,0.0,0.0
