 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : DOMNodePointer,26,26,0,0,0,0,0,35,7,2,5,0,0,0.9285714285714286,696,27,1,0,0,0,0,0,0,4,0,4,0,0,0,5,43,17,18,0,0.41860464,0.0,1,1,0,0,0.115384616,0.071428575
Buggy 2 : Expression,8,8,0,0,0,0,0,7,9,0,6,3,0,0.8717948717948718,125,25,3,2,0,2,1,3,4,2,2,0,0,2,0,1,18,6,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 3 : NullPropertyPointer,4,4,0,0,0,0,0,7,2,0,2,0,0,0.9043478260869565,197,21,1,0,0,0,0,0,0,2,0,2,0,0,0,7,77,23,21,0,0.27272728,0.0,21,1,0,0,0.10526316,0.04761905
Buggy 4 : DOMNodePointer,26,26,0,0,0,0,0,35,7,2,5,0,0,0.9280927835051547,660,27,1,0,0,0,0,0,0,4,0,4,0,0,0,7,78,24,21,0,0.26923078,0.0,21,1,0,0,0.115384616,0.071428575
Buggy 5 : NodePointer,12,12,0,0,0,0,0,14,8,2,3,3,0,0.9571095571095571,633,234,1,0,0,1,1,8,12,7,1,6,1,0,0,5,65,55,8,3,0.12307692,0.046153847,8,1,0,0,0.0,0.125
Buggy 6 : CoreOperationCompare,8,8,0,0,0,0,0,7,0,0,0,0,0,0.5625,122,14,1,0,0,0,1,0,2,0,0,0,0,0,0,4,27,4,0,1,0.0,0.037037037,0,0,0,0,0.0,0.0
Buggy 7 : CoreOperationGreaterThan,0,0,0,0,0,0,0,4,0,0,0,0,0,0.5,36,6,1,0,0,0,0,0,0,0,0,0,0,0,0,5,23,2,2,0,0.08695652,0.0,2,0,0,0,0.0,0.0
Buggy 8 : CoreOperationRelationalExpression,7,7,0,0,0,0,0,6,0,0,0,0,0,0.84375,99,7,1,0,0,0,1,1,4,0,0,0,0,0,0,4,28,8,3,0,0.10714286,0.0,3,0,0,0,0.0,0.0
Buggy 9 : CoreOperationCompare,8,8,0,0,0,0,0,7,0,0,0,0,0,0.7083333333333333,131,11,1,0,0,0,1,0,2,0,0,0,0,0,0,4,27,6,2,1,0.074074075,0.037037037,2,0,0,0,0.0,0.0
Buggy 10 : CoreOperationRelationalExpression,7,7,0,0,0,0,0,6,0,0,0,0,0,0.84375,105,7,1,0,0,0,1,1,4,0,0,0,0,0,0,4,28,8,3,0,0.10714286,0.0,3,0,0,0,0.0,0.0
Buggy 11 : DOMAttributeIterator,9,9,0,0,0,0,0,10,4,0,4,0,0,0.7681159420289855,138,9,1,0,0,1,0,0,0,0,0,0,0,0,0,4,28,8,3,0,0.10714286,0.0,3,0,0,0,0.0,0.0
Buggy 12 : DOMNodePointer,26,26,0,0,0,0,0,35,7,2,5,0,0,0.9303495096806638,659,27,1,0,0,0,0,0,0,4,0,4,0,0,0,4,28,8,3,0,0.10714286,0.0,3,0,0,0,0.115384616,0.071428575
Buggy 13 : NamespaceResolver,6,6,0,0,0,0,0,5,5,0,1,4,0,0.7416666666666667,183,74,1,0,0,1,0,0,0,2,2,0,1,1,0,2,19,8,1,0,0.05263158,0.0,1,0,0,0,0.0,1.0
