 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : NumberUtils,4,4,0,0,0,0,0,2,18,18,0,0,0,0.933049645390071,1340,721,1,0,0,0,0,0,0,24,24,0,0,24,0,1,59,47,0,28,0.0,0.47457626,0,0,0,24,0.0,0.0
Buggy 3 : NumberUtils,4,4,0,0,0,0,0,2,18,18,0,0,0,0.933049645390071,1336,719,1,0,0,0,0,0,0,24,24,0,0,24,0,1,59,47,0,28,0.0,0.47457626,0,0,0,24,0.0,0.0
Buggy 4 : LookupTranslator,3,3,0,0,0,0,0,1,3,0,3,0,0,0.36363636363636365,80,20,1,0,0,0,0,0,0,1,1,0,1,0,0,2,17,1,1,0,0.05882353,0.0,0,0,0,0,0.0,0.0
Buggy 5 : LocaleUtils,9,9,0,0,0,0,0,1,4,0,4,0,0,0.8092105263157895,285,130,2,1,0,0,0,0,0,7,7,0,0,7,0,1,20,8,0,1,0.0,0.05,0,0,0,0,0.0,0.0
Buggy 6 : CharSequenceTranslator,4,4,0,0,0,0,0,2,0,0,0,0,0,0.8,117,50,1,0,0,0,1,1,8,5,5,0,3,2,0,1,17,5,0,2,0.0,0.11764706,0,0,0,0,0.0,0.0
Buggy 7 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9260220635950681,1336,691,1,0,0,0,0,0,0,45,45,0,0,45,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Buggy 8 : FastDatePrinter,16,16,0,0,0,0,0,19,35,4,25,0,6,0.9514767932489452,1131,489,15,16,2,15,0,3,0,5,5,0,2,3,0,3,-6,21,49,0,0.0,0.0,0,0,0,0,0.5555556,0.0
Buggy 9 : FastDateParser,21,21,0,0,0,0,0,10,40,2,34,1,3,0.9550802139037433,799,264,6,6,1,6,0,3,0,11,11,0,6,5,0,3,15,23,27,0,1.8,0.0,0,1,0,0,0.46153846,0.0
Buggy 10 : FastDateParser,21,21,0,0,0,0,0,10,40,2,34,1,3,0.955338266384778,808,264,6,6,1,6,0,3,0,11,11,0,6,5,0,3,15,23,27,0,1.8,0.0,0,1,0,0,0.46153846,0.0
Buggy 11 : RandomStringUtils,1,1,0,0,0,0,0,0,1,0,1,0,0,0.8409090909090909,312,191,1,0,0,0,0,0,0,2,2,0,0,2,0,1,23,11,0,6,0.0,0.26086956,0,0,0,0,0.0,0.0
Buggy 12 : RandomStringUtils,1,1,0,0,0,0,0,0,1,0,1,0,0,0.8409090909090909,305,191,1,0,0,0,0,0,0,1,1,0,0,1,0,1,23,11,0,6,0.0,0.26086956,0,0,0,0,0.0,0.0
Buggy 13 : SerializationUtils,11,9,2,0,0,0,0,4,1,0,1,0,0,0.75,256,132,2,1,0,0,0,0,0,21,15,6,12,3,0,1,16,5,1,2,0.0625,0.125,0,0,0,0,0.0,0.0
