 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : NumberUtils,4,4,0,0,0,0,0,2,18,18,0,0,0,0.9284332688588007,1349,723,1,0,0,0,0,0,0,24,24,0,0,24,0,1,59,47,0,28,0.0,0.47457626,0,0,0,24,0.0,0.0
Fixed 3 : NumberUtils,4,4,0,0,0,0,0,2,18,18,0,0,0,0.933049645390071,1340,721,1,0,0,0,0,0,0,24,24,0,0,24,0,1,59,47,0,28,0.0,0.47457626,0,0,0,24,0.0,0.0
Fixed 4 : LookupTranslator,3,3,0,0,0,0,0,1,3,0,3,0,0,0.36363636363636365,80,20,1,0,0,0,0,0,0,1,1,0,1,0,0,2,17,1,1,0,0.05882353,0.0,0,0,0,0,0.0,0.0
Fixed 5 : LocaleUtils,9,9,0,0,0,0,0,1,4,0,4,0,0,0.8154761904761905,306,130,2,1,0,0,0,0,0,11,11,0,0,11,0,1,20,8,0,1,0.0,0.05,0,0,0,0,0.0,0.0
Fixed 6 : CharSequenceTranslator,4,4,0,0,0,0,0,2,0,0,0,0,0,0.8,117,50,1,0,0,0,1,1,8,5,5,0,3,2,0,1,17,5,0,2,0.0,0.11764706,0,0,0,0,0.0,0.0
Fixed 7 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9260220635950681,1336,691,1,0,0,0,0,0,0,46,46,0,0,46,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Fixed 8 : FastDatePrinter,16,16,0,0,0,0,0,19,34,4,24,0,6,0.9514767932489452,1130,489,15,16,2,15,0,3,0,5,5,0,2,3,0,3,-6,21,49,0,0.0,0.0,0,0,0,0,0.5555556,0.0
Fixed 9 : FastDateParser,21,21,0,0,0,0,0,10,40,2,34,1,3,0.9550802139037433,802,264,6,6,1,6,0,3,0,12,12,0,6,6,0,3,15,23,27,0,1.8,0.0,0,1,0,0,0.46153846,0.0
Fixed 10 : FastDateParser,21,21,0,0,0,0,0,10,40,2,34,1,3,0.9550802139037433,799,264,6,6,1,6,0,3,0,11,11,0,6,5,0,3,15,23,27,0,1.8,0.0,0,1,0,0,0.46153846,0.0
Fixed 11 : RandomStringUtils,1,1,0,0,0,0,0,0,1,0,1,0,0,0.8409090909090909,316,191,1,0,0,0,0,0,0,3,3,0,0,3,0,1,23,11,0,6,0.0,0.26086956,0,0,0,0,0.0,0.0
