 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : BigFraction,12,12,0,0,0,0,0,12,18,14,4,0,0,0.961700337,1045,614,1,0,0,3,0,0,0,20,0,20,0,0,0,6,60,44,11,16,0.18333334,0.26666668,4,0,0,8,0.09090909,0
Buggy 2 : HypergeometricDistribution,7,7,0,0,0,0,0,9,6,0,6,0,0,0.845238095,304,143,1,0,0,0,0,0,0,11,0,11,0,0,0,4,35,16,7,0,0.2,0,7,0,0,0,0,0
Buggy 3 : MathArrays,17,17,0,0,0,0,0,19,1,0,1,0,0,0.862867809,1309,609,1,1,1,0,0,2,0,41,0,41,0,0,0,1,52,40,0,17,0,0.32692307,0,0,0,4,0,0
Buggy 4 : SubLine,7,7,0,0,0,0,0,9,2,0,2,0,0,0.454545455,121,56,1,0,0,0,0,0,0,3,0,3,0,0,0,1,15,3,0,0,0,0,0,0,0,0,0,0
Buggy 5 : Complex,9,9,0,0,0,0,0,8,10,5,5,0,0,0.89010989,1146,729,1,0,0,2,0,0,0,7,0,7,0,0,0,3,55,42,7,6,0.12727273,0.10909091,4,0,0,0,0.14285715,0
Buggy 6 : BaseOptimizer,3,3,0,0,0,0,0,11,3,0,1,2,0,0.75,214,128,3,2,0,2,1,1,5,6,0,6,0,0,0,1,22,10,0,0,0,0,0,0,0,0,0,0
Buggy 7 : AbstractIntegrator,22,22,0,0,0,0,0,17,10,0,5,5,0,0.907754011,356,115,1,0,0,1,1,1,2,18,0,18,0,0,0,3,33,21,14,0,0.42424244,0,14,0,0,0,0.15384616,0
Buggy 8 : DiscreteDistribution,11,11,0,0,0,0,0,11,3,0,2,1,0,0.546666667,172,78,1,0,0,0,0,0,0,9,0,9,0,0,0,1,17,5,0,1,0,0.05882353,0,0,0,0,0,0
Buggy 9 : Line,9,9,0,0,0,0,0,13,2,0,2,0,0,0.854901961,194,89,1,0,0,1,0,0,0,3,0,3,0,0,0,2,27,15,2,1,0.074074075,0.037037037,2,0,0,0,0,0
Buggy 10 : DSCompiler,9,9,0,0,0,0,0,8,8,0,8,0,0,0.779864922,1544,705,1,0,0,0,0,0,0,8,0,8,0,0,0,1,58,46,0,5,0,0.0862069,0,0,0,0,0,0
Buggy 11 : MultivariateNormalDistribution,10,10,0,0,0,0,0,11,5,0,5,0,0,0.75,212,81,1,0,0,0,0,0,0,11,0,11,0,0,0,3,21,6,2,0,0.0952381,0,2,0,0,0,0,0
Buggy 12 : BitsStreamGenerator,2,2,0,0,0,0,0,3,1,0,1,0,0,0.884615385,149,50,1,0,0,1,1,4,3,2,1,1,0,1,0,2,25,13,11,0,0.44,0,11,3,0,0,0.25,0
Buggy 13 : AbstractLeastSquaresOptimizer,23,22,1,0,0,0,0,22,11,0,4,7,0,0.898717949,528,310,1,0,0,1,1,0,4,3,0,3,0,0,0,6,48,20,2,1,0.041666668,0.020833334,0,0,0,0,0.5,0.5
Buggy 14 : Weight,4,3,1,0,0,0,0,4,1,0,1,0,0,0.666666667,65,24,1,0,0,1,0,0,0,1,0,1,0,0,0,2,13,1,0,0,0,0,0,0,0,0,0,0
Buggy 15 : FastMath,1,1,0,0,0,0,0,8,51,2,45,0,4,0.938119369,3274,1130,5,4,0,0,0,0,0,0,0,0,0,0,0,1,83,71,0,23,0,0.27710843,0,0,0,28,0,0
Buggy 16 : FastMath,1,1,0,0,0,0,0,8,50,2,44,0,4,0.938093883,3254,1129,5,4,0,0,0,0,0,0,0,0,0,0,0,1,83,71,0,23,0,0.27710843,0,0,0,28,0,0
Buggy 17 : Dfp,2,2,0,0,0,0,0,5,26,8,14,4,0,0.886234259,2072,580,1,0,0,1,0,0,1,0,0,0,0,0,0,2,75,62,7,8,0.093333334,0.10666667,4,0,0,2,0.14285715,0
Buggy 18 : CMAESOptimizer,23,23,0,0,0,0,0,23,56,6,50,0,0,0.866290209,1295,478,3,2,0,2,0,0,0,5,0,5,0,0,0,8,57,36,3,2,0.05263158,0.03508772,0,0,0,0,0,0
