 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : BigFraction,12,12,0,0,0,0,0,12,18,14,4,0,0,0.961700337,1048,614,1,0,0,3,0,0,0,20,0,20,0,0,0,6,60,44,11,16,0.18333334,0.26666668,4,0,0,8,0.09090909,0
Fixed 2 : HypergeometricDistribution,7,7,0,0,0,0,0,9,6,0,6,0,0,0.845238095,304,143,1,0,0,0,0,0,0,11,0,11,0,0,0,4,35,16,7,0,0.2,0,7,0,0,0,0,0
Fixed 3 : MathArrays,17,17,0,0,0,0,0,19,1,0,1,0,0,0.862867809,1312,609,1,1,1,0,0,2,0,41,0,41,0,0,0,1,52,40,0,17,0,0.32692307,0,0,0,4,0,0
Fixed 4 : SubLine,7,7,0,0,0,0,0,9,2,0,2,0,0,0.454545455,124,56,1,0,0,0,0,0,0,3,0,3,0,0,0,1,15,3,0,0,0,0,0,0,0,0,0,0
Fixed 5 : Complex,9,9,0,0,0,0,0,8,10,5,5,0,0,0.889499389,1146,729,1,0,0,2,0,0,0,7,0,7,0,0,0,3,55,42,7,6,0.12727273,0.10909091,4,0,0,0,0.14285715,0
Fixed 6 : BaseOptimizer,3,3,0,0,0,0,0,11,3,0,1,2,0,0.75,214,128,3,2,0,2,1,1,5,6,0,6,0,0,0,1,22,10,0,0,0,0,0,0,0,0,0,0
Fixed 7 : AbstractIntegrator,22,22,0,0,0,0,0,17,10,0,5,5,0,0.902406417,355,115,1,0,0,1,1,1,2,18,0,18,0,0,0,3,33,21,14,0,0.42424244,0,14,0,0,0,0.15384616,0
Fixed 8 : DiscreteDistribution,11,11,0,0,0,0,0,10,3,0,2,1,0,0.56,172,78,1,0,0,0,0,0,0,9,0,9,0,0,0,1,17,5,0,1,0,0.05882353,0,0,0,0,0,0
Fixed 9 : Line,9,9,0,0,0,0,0,13,2,0,2,0,0,0.862745098,195,89,1,0,0,1,0,0,0,3,0,3,0,0,0,2,27,15,2,1,0.074074075,0.037037037,2,0,0,0,0,0
Fixed 10 : DSCompiler,9,9,0,0,0,0,0,8,8,0,8,0,0,0.779864922,1545,705,1,0,0,0,0,0,0,8,0,8,0,0,0,1,58,46,0,5,0,0.0862069,0,0,0,0,0,0
Fixed 11 : MultivariateNormalDistribution,10,10,0,0,0,0,0,11,5,0,5,0,0,0.75,212,81,1,0,0,0,0,0,0,11,0,11,0,0,0,3,21,6,2,0,0.0952381,0,2,0,0,0,0,0
Fixed 12 : BitsStreamGenerator,3,3,0,0,0,0,0,3,2,0,2,0,0,0.891402715,152,50,1,0,0,2,1,4,3,2,1,1,0,1,0,3,25,13,11,0,0.44,0,11,3,0,0,0.25,0
Fixed 13 : AbstractLeastSquaresOptimizer,23,23,0,0,0,0,0,23,11,0,4,7,0,0.891666667,537,310,1,0,0,1,1,0,4,3,0,3,0,0,0,6,48,20,2,1,0.041666668,0.020833334,0,0,0,0,0.5,0.5
Fixed 14 : Weight,4,4,0,0,0,0,0,4,1,0,1,0,0,0.5,62,24,1,0,0,1,0,0,0,1,0,1,0,0,0,2,13,1,0,0,0,0,0,0,0,0,0,0
Fixed 15 : FastMath,1,1,0,0,0,0,0,8,52,2,46,0,4,0.938248019,3275,1130,5,4,0,0,0,0,0,0,0,0,0,0,0,1,83,71,0,23,0,0.27710843,0,0,0,28,0,0
Fixed 16 : FastMath,1,1,0,0,0,0,0,8,51,2,45,0,4,0.938119369,3273,1129,5,4,0,0,0,0,0,0,0,0,0,0,0,1,83,71,0,23,0,0.27710843,0,0,0,28,0,0
Fixed 17 : Dfp,2,2,0,0,0,0,0,5,26,8,14,4,0,0.886148008,2076,580,1,0,0,1,0,0,1,0,0,0,0,0,0,2,75,62,7,8,0.093333334,0.10666667,4,0,0,2,0.14285715,0
