 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 1 : InvocationMatcher,14,13,1,0,0,0,0,13,3,0,3,0,0,0.8937728937728938,148,23,1,0,0,3,0,0,1,2,2,0,0,1,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
Buggy 2 : Timer,0,0,0,0,0,0,0,0,2,0,2,0,0,0.25,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 3 : InvocationMatcher,11,9,2,0,0,0,1,11,3,0,3,0,0,0.8825757575757576,127,7,1,0,0,3,0,0,1,1,1,0,0,0,0,5,22,11,3,0,0.13636364,0.0,3,0,0,0,0.0,0.0
Buggy 4 : Reporter,26,24,2,0,0,0,2,37,0,0,0,0,0,0.9567567567567568,710,11,1,0,0,0,0,0,0,65,0,65,0,0,0,1,86,74,0,1,0.0,0.011627907,0,0,0,0,0.0,0.0
Buggy 5 : VerificationOverTimeImpl,4,4,0,0,0,0,0,7,5,0,5,0,0,0.7857142857142857,118,44,1,0,0,1,0,0,0,3,1,2,1,0,0,2,19,7,1,0,0.05263158,0.0,1,0,0,0,0.0,0.0
Buggy 6 : Matchers,11,10,1,0,0,0,1,20,1,0,1,0,0,0.9811320754716981,824,645,1,0,0,0,0,0,1,0,0,0,0,0,0,1,65,53,0,12,0.0,0.18461539,0,0,0,7,0.0,0.0
Buggy 7 : GenericMetadataSupport,4,4,0,0,0,0,2,12,11,0,10,1,0,0.9209302325581395,517,194,8,8,1,2,1,3,0,4,0,4,0,0,0,1,13,13,12,1,0.9230769,0.07692308,0,0,0,0,1.0,0.0
Buggy 8 : GenericMetadataSupport,4,4,0,0,0,0,2,12,11,0,10,1,0,0.9186046511627907,517,194,8,8,1,2,1,3,0,4,0,4,0,0,0,1,13,13,12,1,0.9230769,0.07692308,0,0,0,0,1.0,0.0
Buggy 9 : CallsRealMethods,3,3,0,0,0,0,0,2,1,0,1,0,0,1.0,34,20,1,0,0,2,0,0,0,1,1,0,0,0,0,3,13,1,1,0,0.07692308,0.0,1,0,0,0,0.0,0.0
Buggy 10 : ReturnsDeepStubs,14,13,1,0,0,0,0,17,5,0,5,0,0,0.8333333333333334,133,33,4,3,0,5,0,0,0,5,5,0,1,0,0,3,19,9,3,0,0.15789473,0.0,2,0,0,0,1.0,0.0
Buggy 11 : DelegatingMethod,3,3,0,0,0,0,0,2,1,0,1,0,0,0.11111111111111116,48,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,19,9,9,0,0.47368422,0.0,7,0,0,0,0.0,0.0
Buggy 12 : GenericMaster,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Buggy 13 : MockHandler,17,17,0,0,0,0,0,19,5,0,2,0,3,0.75,103,18,1,0,0,2,0,0,0,1,1,0,0,0,0,4,17,5,5,0,0.29411766,0.0,5,0,0,0,0.0,0.0
Buggy 14 : MockHandler,16,16,0,0,0,0,0,18,5,0,2,0,3,0.75,98,16,1,0,0,2,0,0,0,1,1,0,0,0,0,4,17,5,5,0,0.29411766,0.0,5,0,0,0,0.0,0.0
Buggy 15 : FinalMockCandidateFilter,4,4,0,0,0,0,0,4,0,0,0,0,0,0.33333333333333337,35,8,1,0,0,1,0,0,0,3,1,2,1,0,0,2,13,1,1,0,0.07692308,0.0,1,0,0,0,0.0,0.0
Buggy 16 : Mockito,9,8,1,0,0,0,3,24,5,4,1,0,0,0.8551724137931034,1533,1418,1,0,0,0,0,0,1,0,0,0,0,0,0,2,90,29,0,5,0.0,0.055555556,0,0,0,0,0.0,0.0
Buggy 17 : MockSettingsImpl,4,4,0,0,0,0,0,6,6,0,6,0,0,0.8441558441558441,65,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,23,11,5,0,0.2173913,0.0,5,0,0,0,0.0,0.0
Buggy 18 : ReturnsEmptyValues,21,21,0,0,0,0,0,7,3,0,1,0,2,0.5833333333333333,112,32,1,0,0,2,0,0,0,0,0,0,0,0,0,3,14,2,1,0,0.071428575,0.0,1,0,0,0,0.0,0.0
Buggy 19 : PropertyAndSetterInjection,15,14,1,0,0,0,1,13,2,0,2,0,0,0.7380952380952381,114,39,1,0,0,0,0,0,0,1,0,1,0,0,0,2,21,5,1,0,0.04761905,0.0,1,0,0,0,0.0,0.0
Buggy 2
