 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 1 : InvocationMatcher,14,13,1,0,0,0,0,13,3,0,3,0,0,0.8892307692307693,159,23,1,0,0,3,0,0,1,1,1,0,0,0,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
Fixed 2 : Timer,1,1,0,0,0,0,0,1,2,0,2,0,0,0.33333333333333337,28,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 3 : InvocationMatcher,11,11,0,0,0,0,1,15,3,0,3,0,0,0.8690476190476191,141,7,1,0,0,3,0,0,1,1,1,0,0,0,0,5,23,12,3,0,0.13043478,0.0,3,0,0,0,0.0,0.0
Fixed 4 : Reporter,26,24,2,0,0,0,2,37,0,0,0,0,0,0.9567567567567568,713,11,1,0,0,0,0,0,0,65,0,65,0,0,0,1,86,74,0,1,0.0,0.011627907,0,0,0,0,0.0,0.0
Fixed 5 : VerificationOverTimeImpl,4,4,0,0,0,0,0,6,5,0,5,0,0,0.7857142857142857,118,44,1,0,0,1,0,0,0,3,2,1,1,0,0,2,19,7,1,0,0.05263158,0.0,1,0,0,0,0.0,0.0
Fixed 6 : Matchers,11,10,1,0,0,0,1,20,1,0,1,0,0,0.9811320754716981,824,645,1,0,0,0,0,0,1,0,0,0,0,0,0,1,65,53,0,12,0.0,0.18461539,0,0,0,7,0.0,0.0
Fixed 7 : GenericMetadataSupport,4,4,0,0,0,0,2,12,11,0,10,1,0,0.9209302325581395,518,194,8,8,1,2,1,3,0,4,0,4,0,0,0,1,13,13,12,1,0.9230769,0.07692308,0,0,0,0,1.0,0.0
Fixed 8 : GenericMetadataSupport,4,4,0,0,0,0,2,12,11,0,10,1,0,0.9186046511627907,517,194,8,8,1,2,1,3,0,4,0,4,0,0,0,1,13,13,12,1,0.9230769,0.07692308,0,0,0,0,1.0,0.0
Fixed 9 : CallsRealMethods,5,5,0,0,0,0,0,3,1,0,1,0,0,1.0,39,20,1,0,0,2,0,0,0,1,1,0,0,0,0,3,13,1,1,0,0.07692308,0.0,1,0,0,0,0.0,0.0
Fixed 10 : ReturnsDeepStubs,15,14,1,0,0,0,0,18,5,0,5,0,0,0.8284023668639053,138,33,4,3,0,5,0,0,0,5,5,0,1,0,0,3,20,10,3,0,0.15,0.0,2,0,0,0,1.0,0.0
Fixed 11 : DelegatingMethod,3,3,0,0,0,0,0,3,1,0,1,0,0,0.4444444444444444,56,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,19,9,9,0,0.47368422,0.0,7,0,0,0,0.0,0.0
Fixed 12 : GenericMaster,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0
Fixed 13 : MockHandler,17,17,0,0,0,0,0,19,5,0,2,0,3,0.75,105,18,1,0,0,2,0,0,0,1,1,0,0,0,0,4,17,5,5,0,0.29411766,0.0,5,0,0,0,0.0,0.0
Fixed 14 : MockHandler,17,17,0,0,0,0,0,19,5,0,2,0,3,0.75,101,16,1,0,0,2,0,0,0,1,1,0,0,0,0,4,17,5,5,0,0.29411766,0.0,5,0,0,0,0.0,0.0
Fixed 15 : FinalMockCandidateFilter,5,5,0,0,0,0,0,5,0,0,0,0,0,0.33333333333333337,38,8,1,0,0,1,0,0,0,3,1,2,1,0,0,2,13,1,1,0,0.07692308,0.0,1,0,0,0,0.0,0.0
Fixed 16 : Mockito,9,8,1,0,0,0,3,24,5,4,1,0,0,0.8551724137931034,1533,1418,1,0,0,0,0,0,1,0,0,0,0,0,0,2,90,29,0,5,0.0,0.055555556,0,0,0,0,0.0,0.0
Fixed 17 : MockSettingsImpl,4,4,0,0,0,0,0,5,7,0,7,0,0,0.8636363636363636,67,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,23,11,5,0,0.2173913,0.0,5,0,0,0,0.0,0.0
Fixed 18 : ReturnsEmptyValues,21,21,0,0,0,0,0,7,3,0,1,0,2,0.5833333333333333,114,32,1,0,0,2,0,0,0,0,0,0,0,0,0,3,14,2,1,0,0.071428575,0.0,1,0,0,0,0.0,0.0
Fixed 19 : PropertyAndSetterInjection,15,14,1,0,0,0,1,13,2,0,2,0,0,0.7380952380952381,114,39,1,0,0,0,0,0,0,1,0,1,0,0,0,2,21,5,1,0,0.04761905,0.
